Designator,Mid X,Mid Y,Rotation,Layer
D1,93.0,-92.0,180.0,bottom
D10,150.0,-79.6175,180.0,bottom
D11,150.0,-60.6175,180.0,bottom
D12,150.0,-41.6175,180.0,bottom
D13,169.0,-69.8675,180.0,bottom
D14,169.0,-50.8675,180.0,bottom
D15,164.558313,-102.705818,200.0,bottom
D16,198.454613,-112.727287,295.0,bottom
D17,308.5,-92.0,180.0,bottom
D18,308.5,-73.0,180.0,bottom
D19,308.5,-54.0,180.0,bottom
D2,93.0,-73.0,180.0,bottom
D20,289.5,-79.6175,180.0,bottom
D21,289.5,-60.6175,180.0,bottom
D22,289.5,-41.6175,180.0,bottom
D23,270.5,-74.855,180.0,bottom
D24,270.5,-55.855,180.0,bottom
D25,270.5,-36.855,180.0,bottom
D26,251.5,-79.6175,180.0,bottom
D27,251.5,-60.6175,180.0,bottom
D28,251.5,-41.6175,180.0,bottom
D29,232.5,-69.8675,180.0,bottom
D3,93.0,-54.0,180.0,bottom
D30,232.5,-50.8675,180.0,bottom
D31,237.785991,-107.4941,160.0,bottom
D32,222.962042,-125.415596,65.0,bottom
D4,112.0,-79.6175,180.0,bottom
D5,112.0,-60.6175,180.0,bottom
D6,112.0,-41.6175,180.0,bottom
D7,131.0,-74.855,180.0,bottom
D8,131.0,-55.855,180.0,bottom
D9,131.0,-36.855,180.0,bottom
H7_6,206.1,-75.225,90.0,top
H7_5,209.4,-75.225,90.0,top
H7_4,206.1,-55.275,90.0,top
H7_3,206.1,-97.325,90.0,top
H7_2,209.4,-97.325,90.0,top
H7,209.4,-55.275,90.0,top
SW1,98.9875,-100.435,0.0,top
SW10,155.9875,-88.0525,0.0,top
SW11,155.9875,-69.0525,0.0,top
SW12,155.9875,-50.0525,0.0,top
SW13,174.9875,-78.3025,0.0,top
SW14,174.9875,-59.3025,0.0,top
SW15,167.2997824591076,-112.67997089492462,340.0,top
SW16,188.27948010265152,-114.58902042176818,245.0,top
SW17,314.4875,-100.435,0.0,top
SW18,314.4875,-81.435,0.0,top
SW19,314.4875,-62.435,0.0,top
SW2,98.9875,-81.435,0.0,top
SW20,295.4875,-88.0525,0.0,top
SW21,295.4875,-69.0525,0.0,top
SW22,295.4875,-50.0525,0.0,top
SW23,276.4875,-83.29,0.0,top
SW24,276.4875,-64.29,0.0,top
SW25,276.4875,-45.29,0.0,top
SW26,257.4875,-88.0525,0.0,top
SW27,257.4875,-69.0525,0.0,top
SW28,257.4875,-50.0525,0.0,top
SW29,238.4875,-78.3025,0.0,top
SW3,98.9875,-62.435,0.0,top
SW30,238.4875,-59.3025,0.0,top
SW31,246.29733998380095,-113.37256168515911,20.0,top
SW32,228.0763218773734,-116.42429369051742,115.0,top
SW33,203.05,-82.4675,90.0,top
SW34,212.45,-82.4675,270.0,top
SW4,117.9875,-88.0525,0.0,top
SW5,117.9875,-69.0525,0.0,top
SW6,117.9875,-50.0525,0.0,top
SW7,136.9875,-83.29,0.0,top
SW8,136.9875,-64.29,0.0,top
SW9,136.9875,-45.29,0.0,top
TP1,197.3378,-104.0384,0.0,top
TP2,200.8378,-104.0384,0.0,top
TP3,218.1522,-104.0384,0.0,top
TP4,214.6522,-104.0384,0.0,top
